NDVI,LST,THERMAL_ANOMALIES,CLASS
0.506782,14584.27273,4.692308,no_fire
0.52215,14655.83333,5,no_fire
0.682284,14780,5,fire
0.120046,13298.5,3.5,no_fire
0.568734,14743,5,no_fire
0.454228,14929.57143,4.904762,fire
0.508299,14333.375,4.976563,fire
0.519243,14738,5,fire
0.696477,14658,3,no_fire
0.57501,15169.19048,4.809524,no_fire
0.433218,14721.12785,4.433486,no_fire
0.631009,14564.07692,4.915094,no_fire
0.635615,14734.33769,4.496235,fire
0.608305,14512.5,4,no_fire
0.596891,14336.14151,4.716981,no_fire
0.339097,14159.75,5,no_fire
0.569658,14462,3,fire
0.502957,15302,5,no_fire
0.506682,14724.46825,4.984375,fire
0.64064,14349.68,4.62029,fire
0.6191,14285,5,no_fire
0.560908,14977.85294,5,no_fire
0.44088,14745.96457,4.574194,fire
0.579521,15032.13433,4.983051,no_fire
0.421213,15420.66384,4.749247,fire
0.486325,15022.95833,3.862069,fire
0.686572,14139,5,no_fire
0.634834,14690.5971,4.298551,no_fire
0.614242,14445.5,5,no_fire
0.525014,14660,3,no_fire
0.575182,14763.5,4.676056,fire
0.43879,15208.23077,4.4,fire
0.5545,14213,5,no_fire
0.540683,14900.29452,4.898305,no_fire
0.532021,15293.35294,5,no_fire
0.656264,14546,5,no_fire
0.594663,14151.5,3,no_fire
0.588483,14772.21888,5.025424,no_fire
0.675575,15033.5,5,no_fire
0.556863,14808,5,no_fire
0.546875,14584.16279,4.348837,no_fire
0.533645,15090.85714,5,no_fire
0.688404,14835,5,no_fire
0.603207,14985,5,no_fire
0.638939,14668.5,5,fire
0.425514,14507,5,no_fire
0.600452,14997.39623,4.792453,no_fire
0.563287,14281.91824,4.932079,no_fire
0.482204,15368.72642,4.716981,fire
0.563287,14673.4902,4.882353,no_fire
0.543882,15283,5,no_fire
0.602972,14809.31579,5,no_fire
0.638503,15075.07547,4.716981,no_fire
0.588702,13699.44737,4.385744,no_fire
0.713023,14932.36364,5,no_fire
0.472832,14345,5,no_fire
0.717785,15054,5,no_fire
0.373782,15151.63636,5,no_fire
0.359946,15359.27273,5,no_fire
0.6927,14572,5,no_fire
0.596961,14509,5,no_fire
0.522106,14369,4.888889,fire
0.602314,14659.93443,4.879781,no_fire
0.534302,14682.6875,5,no_fire
0.521693,15138.23529,5,no_fire
0.58055,15107.5,5,no_fire
0.57065,14793.56,5,no_fire
0.672834,14626,5,no_fire
0.586997,13920,5,no_fire
0.471685,14739,4,no_fire
0.628291,14918.68868,4.764151,no_fire
0.63684,14884.68945,4.746235,fire
0.577265,13837.24,4.773585,no_fire
0.519172,15033,5,no_fire
0.502624,14229.5,5,no_fire
0.62055,14666.29032,4.651163,no_fire
0.667647,15085,5,no_fire
0.636119,14871,5,no_fire
0.571949,15281.85714,4.802817,fire
0.614769,14990.62791,4.627907,fire
0.472933,14929.75,4,fire
0.633808,14690.8835,4.868421,no_fire
0.578655,13747.13044,4.339623,no_fire
0.424832,14983.8871,4.498494,fire
0.092547,13486,4,no_fire
0.573026,14721,5,no_fire
0.444346,15193.15165,4.915254,no_fire
0.600845,14785,5,no_fire
0.474726,14694.59397,4.872979,fire
0.611728,14915,5,fire
0.630937,14534.51443,4.663173,no_fire
0.673342,14841,3,no_fire
0.629026,13911,4.880952,no_fire
0.617781,14934,5,fire
0.433112,14687.376,5,no_fire
0.490881,15115.66667,4.5,no_fire
0.500597,14772.20833,5,no_fire
0.593139,14617.83333,5,no_fire
0.565399,14385.57143,5,no_fire
0.434679,15065.2,5,no_fire
0.525336,14971.16667,4.888889,no_fire
0.66026,14464.44444,4.888889,no_fire
0.685019,14604,5,fire
0.503555,15338.56522,4.982609,no_fire
0.601725,14856.18182,5,no_fire
0.591912,14903,4,no_fire
0.57594,15109,5,no_fire
0.582301,14961.77778,4,fire
0.570747,14504.41286,4.235414,no_fire
0.60287,14447.66667,3.666667,no_fire
0.401609,13863.31818,4.583333,no_fire
0.599489,14711.5,3,no_fire
0.555382,14697.33333,5,no_fire
0.50683,14333.57143,4.785714,fire
0.591742,14234.69444,4.947034,no_fire
0.548443,15130.19048,4.619048,no_fire
0.444175,14528,4.7,fire
0.636726,14418.64407,4.928571,no_fire
0.472408,14805.77778,4.077079,fire
0.587625,14881.3,3.8,no_fire
0.683897,14844,5,no_fire
0.558721,15039.43651,4.888889,no_fire
0.545559,14113.41989,4.62439,no_fire
0.579063,14532.76,3.93913,no_fire
0.425139,14495.63333,5,no_fire
0.614242,14445.5,5,no_fire
0.568812,14698.83333,4.071429,no_fire
0.60056,14897.74074,4.413793,fire
0.61425,14636.5,4,fire
0.568388,14608,3,fire
0.506331,14726,5,fire
0.530633,14800.90244,4.746032,no_fire
0.517031,14526.46429,4.97619,no_fire
0.569022,14886.63441,4.969574,fire
0.588788,14574,5,no_fire
0.391421,14094,5,no_fire
0.595854,14681.85185,3.706897,fire
0.57268,15120.6875,3.875,no_fire
0.562434,15198.88372,5.186047,fire
0.573356,13640.5,3,no_fire
0.428883,14715.275,4.902542,no_fire
0.556638,15272.5,5,no_fire
0.630026,14395.87719,4.548246,no_fire
0.580193,14575,5,no_fire
0.659175,14589,5,no_fire
0.377639,14708.29412,4.944573,fire
0.576844,14545,5,no_fire
0.62222,14464,3,no_fire
0.60495,14905.50856,4.99521,fire
0.536268,13998,4,no_fire
0.656264,14546,5,no_fire
0.496743,15038.91667,4.75,no_fire
0.480501,14022.21053,4.761905,no_fire
0.50297,14742.00935,4.912698,no_fire
0.503497,14415.41739,5,no_fire
0.585781,15043.33333,5,no_fire
0.598009,14193.28571,4.775956,no_fire
0.713342,14848,5,no_fire
0.605086,14091.5,3,no_fire
0.495869,14564.54032,4.8125,no_fire
0.478873,15154.5,4.982456,fire
0.530114,15221.09788,5.178899,no_fire
0.622892,14112.23256,4.985507,no_fire
0.602128,14970.8,3.793103,no_fire
0.529735,14537,5,no_fire
0.600585,14482,4.2,no_fire
0.579892,15148,4,no_fire
0.601972,14747.35714,4.809524,no_fire
0.59929,15056.71429,4.714286,no_fire
0.633808,14690.8835,4.868421,no_fire
0.504636,14256.16981,4.084556,no_fire
0.475246,14044,4.5,no_fire
0.558943,14867.40909,5,no_fire
0.579681,14953,5,fire
0.502867,14499.70797,4.965217,no_fire
0.552938,14540.75,4.5,no_fire
0.550412,14737.84,5,no_fire
0.130482,13814.125,4.3125,no_fire
0.587878,14564,5,no_fire
